epoch,phase,train_loss,val_loss,val_acc
0,head,1.4168352550930448,1.8047047853469849,0.18433179723502305
1,head,1.087865134080251,1.786498785018921,0.21658986175115208
2,head,0.9690623007438801,1.763607144355774,0.24423963133640553
3,head,0.8635172766667826,1.7380287647247314,0.28110599078341014
4,head,0.8304488471260777,1.7105509042739868,0.3433179723502304
5,ft,0.8163823750283983,1.68234121799469,0.38940092165898615
6,ft,0.766491174697876,1.654125690460205,0.44930875576036866
7,ft,0.7170697461675715,1.6267346143722534,0.5276497695852534
8,ft,0.6899738940927718,1.6004698276519775,0.5714285714285714
9,ft,0.6298889352215661,1.574974536895752,0.6152073732718893
10,ft,0.606687820620007,1.5500760078430176,0.6474654377880185
11,ft,0.5924561548012274,1.5258909463882446,0.6705069124423964
12,ft,0.575659904215071,1.5024440288543701,0.6889400921658986
13,ft,0.5631950541778847,1.4797104597091675,0.7258064516129032
14,ft,0.5584753630337892,1.457323670387268,0.7419354838709677
15,ft,0.551037202278773,1.435684084892273,0.7534562211981567
16,ft,0.5319532856897071,1.4143626689910889,0.7649769585253456
17,ft,0.5251594919849325,1.393644094467163,0.771889400921659
18,ft,0.5273419524784442,1.3734345436096191,0.7811059907834101
19,ft,0.5134634640481737,1.3535577058792114,0.8018433179723502
20,ft,0.509835880111765,1.3343194723129272,0.804147465437788
21,ft,0.5114862664982125,1.3151752948760986,0.8133640552995391
22,ft,0.5083024706001635,1.2963802814483643,0.815668202764977
23,ft,0.5038506581827447,1.2780004739761353,0.8225806451612904
24,ft,0.5007712167722208,1.2599787712097168,0.8294930875576036
25,ft,0.498335435434624,1.2423888444900513,0.8294930875576036
26,ft,0.4977503518263499,1.2251986265182495,0.836405529953917
27,ft,0.4860310173696942,1.2082877159118652,0.8433179723502304
28,ft,0.4877153756441893,1.191768765449524,0.8433179723502304
29,ft,0.48524372390022985,1.17559814453125,0.8502304147465438
30,ft,0.48931146164735156,1.159741759300232,0.8571428571428571
31,ft,0.4895780986105954,1.1441010236740112,0.8617511520737328
32,ft,0.4894914715378373,1.1288461685180664,0.8640552995391705
33,ft,0.48920504804010745,1.1139875650405884,0.8640552995391705
34,ft,0.4894049294568874,1.0993080139160156,0.868663594470046
35,ft,0.4900641800076873,1.0847244262695312,0.868663594470046
36,ft,0.4809387657377455,1.0706514120101929,0.868663594470046
37,ft,0.4825158350997501,1.056696891784668,0.8732718894009217
38,ft,0.48124539521005416,1.0429778099060059,0.8755760368663594
39,ft,0.4829743405183156,1.0295287370681763,0.880184331797235
40,ft,0.4817568880540353,1.0163252353668213,0.8847926267281107
41,ft,0.48235277114091096,1.0031994581222534,0.8870967741935484
42,ft,0.4846493127169432,0.9904903769493103,0.8870967741935484
43,ft,0.4797137009876746,0.9778106808662415,0.8894009216589862
44,ft,0.4862509016637449,0.9655565619468689,0.8894009216589862
