epoch,phase,train_loss,val_loss,val_acc
0,ft,0.6099767039219538,0.4646166265010834,0.9262672811059908
1,ft,0.5861988630559709,0.4090959429740906,0.9354838709677419
2,ft,0.5641780473567821,0.3712344169616699,0.9262672811059908
3,ft,0.5418061376721771,0.34505733847618103,0.9331797235023042
4,ft,0.5424011515246497,0.3226938247680664,0.9377880184331797
5,ft,0.5383589306363353,0.33204352855682373,0.9285714285714286
6,ft,0.5311743937156819,0.3031046986579895,0.9423963133640553
7,ft,0.5201237665282356,0.2956857681274414,0.9400921658986175
8,ft,0.5244047790765762,0.29642754793167114,0.9470046082949308
9,ft,0.5163688759009043,0.2982925772666931,0.9377880184331797
10,ft,0.5138157219798477,0.296720415353775,0.9400921658986175
11,ft,0.5164201921886868,0.30436038970947266,0.9331797235023042
12,ft,0.5085448661336193,0.28957128524780273,0.9447004608294931
13,ft,0.510075589021047,0.2885192930698395,0.9354838709677419
14,ft,0.5120817549802639,0.28593289852142334,0.9470046082949308
