epoch,phase,train_loss,val_loss,val_acc
0,head,1.417017885932216,1.0265141725540161,0.7396313364055299
1,head,1.088427190427427,0.8309193253517151,0.771889400921659
2,head,0.9698893273318255,0.7259047031402588,0.7880184331797235
3,head,0.8645919384779753,0.6558927893638611,0.8248847926267281
4,head,0.8315800494617887,0.6279755234718323,0.8133640552995391
5,ft,0.8175385572292186,0.5781272053718567,0.8271889400921659
6,ft,0.7672377559873793,0.5331210494041443,0.8317972350230415
7,ft,0.7175905638270907,0.4774060547351837,0.8640552995391705
8,ft,0.6903318608248675,0.45479825139045715,0.8663594470046083
9,ft,0.6303469560764454,0.423168808221817,0.8917050691244239
10,ft,0.6074312583163932,0.4060094356536865,0.8917050691244239
11,ft,0.5929305967357423,0.391144335269928,0.9101382488479263
12,ft,0.5763487092874668,0.36852699518203735,0.9101382488479263
13,ft,0.5631535605148033,0.3700913190841675,0.9124423963133641
14,ft,0.5586667590671115,0.361203670501709,0.9216589861751152
15,ft,0.5513135763230147,0.3489209711551666,0.9193548387096774
16,ft,0.532103376256095,0.3434322774410248,0.9193548387096774
17,ft,0.5252970037636934,0.34036192297935486,0.9193548387096774
18,ft,0.5276457948817147,0.34388646483421326,0.9170506912442397
19,ft,0.5134589031890586,0.3370736241340637,0.9193548387096774
20,ft,0.5096803147483755,0.32998085021972656,0.9262672811059908
21,ft,0.5117429323770382,0.3415716588497162,0.9308755760368663
22,ft,0.5086900807089276,0.3364834487438202,0.9285714285714286
23,ft,0.5043971935907999,0.3235393166542053,0.9331797235023042
24,ft,0.5009665384336754,0.3287363052368164,0.9377880184331797
25,ft,0.49829824048059956,0.319279283285141,0.9308755760368663
26,ft,0.49826070114418314,0.33082184195518494,0.9308755760368663
27,ft,0.4861015208341457,0.31637102365493774,0.9331797235023042
28,ft,0.48778907899503354,0.3180917501449585,0.9377880184331797
29,ft,0.4852149961171327,0.3229082226753235,0.9308755760368663
30,ft,0.48973678990646646,0.3184385299682617,0.9331797235023042
31,ft,0.4895385089847777,0.3140106499195099,0.9354838709677419
32,ft,0.48925846925488226,0.31024911999702454,0.9354838709677419
33,ft,0.4889144742930377,0.31514596939086914,0.9400921658986175
34,ft,0.48891882488021143,0.3160340189933777,0.9354838709677419
35,ft,0.49013811515437233,0.3124067485332489,0.9354838709677419
36,ft,0.4807804497303786,0.31831610202789307,0.9262672811059908
37,ft,0.4825293752882216,0.3112184405326843,0.9331797235023042
38,ft,0.48115214539898765,0.31296539306640625,0.9354838709677419
39,ft,0.4825233883327908,0.3098658323287964,0.9331797235023042
40,ft,0.48152408997217816,0.311807245016098,0.9354838709677419
41,ft,0.48206103565516295,0.3128012716770172,0.9354838709677419
42,ft,0.4844537824392319,0.312322735786438,0.9354838709677419
43,ft,0.47937376190114905,0.31997424364089966,0.9285714285714286
